"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.044278,0.05228,-0.003,0.044278,0.05228,-0.003,0.67321,0.044284,0.052286,-0.003,79.199,351.98,0,0,0,0,-2.3636e+05,-7.3602e+05,-1.658e-06,0.031676,29.581,0,7.0848e+07,74788,16.865,0.73855,-1.2328e-05,1.0262e-05,4.9573e+06,-58.002,-69.103,-7.4403e-13,0.97874,2.523
0.0444,0.052426,-0.003,0.0444,0.052426,-0.003,0.67508,0.044404,0.052432,-0.003,79.383,351.93,0,0,0,0,-2.8179e+05,-6.3101e+05,-6.0291e-06,0.031956,28.465,0,7.0951e+07,74666,16.865,0.73746,-1.9664e-05,1.6486e-05,4.5092e+06,-52.98,-62.738,-1.1307e-12,0.98145,2.4967
0.044506,0.05255,-0.003,0.044506,0.05255,-0.003,0.67643,0.044509,0.052555,-0.003,79.53,351.97,0,0,0,0,-1.9315e+06,-1.8478e+05,-2.4154e-05,0.031283,30.657,0,7.1059e+07,74579,16.865,0.73634,-3.092e-07,1.4156e-07,4.4091e+06,-52.37,-60.975,-2.5138e-12,0.98378,2.4952
0.044599,0.052655,-0.003,0.044599,0.052655,-0.003,0.68036,0.044601,0.052659,-0.003,79.625,351.94,0,0,0,0,-4.1673e+06,-4.7387e+05,-8.0653e-07,0.034293,39.688,0,7.1345e+07,74325,16.865,0.73368,2.1724e-05,-1.9567e-05,5.5943e+06,-67.499,-76.33,-8.1896e-12,0.98577,2.7289
0.04468,0.052743,-0.003,0.04468,0.052743,-0.003,0.68833,0.044683,0.052745,-0.003,79.741,351.54,0,0,0,0,-4.0283e+06,-3.32e+06,9.7516e-05,0.039204,47.823,0,7.1788e+07,73807,16.865,0.72957,-6.4429e-05,5.8172e-05,7.7883e+06,-94.654,-105.25,-1.597e-12,0.98748,3.1855
0.044748,0.052819,-0.003,0.044748,0.052819,-0.003,0.69939,0.044752,0.052821,-0.003,79.974,351.07,0,0,0,0,-3.5259e+05,-6.829e+06,1.2566e-05,0.036636,46.788,0,7.2315e+07,73088,16.865,0.72407,-5.6803e-05,5.2558e-05,8.4479e+06,-101.43,-114.85,1.49e-11,0.98894,3.3602
0.044805,0.052887,-0.003,0.044805,0.052887,-0.003,0.70678,0.044807,0.052888,-0.003,80.249,350.84,0,0,0,0,4.0371e+06,-6.4126e+06,-9.3669e-05,0.03192,40.548,0,7.2592e+07,72605,16.865,0.72012,4.9513e-05,-4.0766e-05,7.0112e+06,-81.569,-97.285,2.5594e-11,0.9902,3.1605
0.04485,0.052947,-0.003,0.04485,0.052947,-0.003,0.70718,0.044852,0.052948,-0.003,80.525,350.74,0,0,0,0,6.9019e+06,-3.8792e+06,-6.2861e-05,0.029092,33.373,0,7.2529e+07,72579,16.865,0.71998,4.6864e-05,-3.6083e-05,5.1757e+06,-57.699,-73.694,3.0506e-11,0.99128,2.8479
0.044887,0.053,-0.003,0.044887,0.053,-0.003,0.70513,0.044889,0.053001,-0.003,80.726,350.67,0,0,0,0,9.4056e+06,-2.0834e+06,-0.00010723,0.027058,26.542,0,7.2347e+07,72713,16.865,0.72145,1.4871e-05,-1.114e-05,3.5236e+06,-37.645,-51.304,5.1542e-12,0.9922,2.4769
0.044916,0.053047,-0.003,0.044916,0.053047,-0.003,0.70148,0.044917,0.053049,-0.003,80.844,350.52,0,0,0,0,1.0955e+07,-3.1655e+05,0.00012067,0.025413,20.129,0,7.1987e+07,72952,16.865,0.72417,-1.7144e-05,1.1798e-05,1.9337e+06,-20.622,-28.236,-3.859e-11,0.99298,1.976
