"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
0.04501,0.053385,-0.003,0.04501,0.053385,-0.003,0,0.65862,0.04501,0.053385,-0.003,47.348,357.32,0,0,0,0,-8.5624e+05,7.3914e+05,-0.00016912,0.09356,4.4812,0,7.0868e+07,75728,14.157,0.7366,1.4918e-05,1.8576e-06,-8.3976e+05,-0.43533,14.79,-3.5779e-11,0.99754,1.1849
0.045008,0.053407,-0.003,0.045008,0.053407,-0.003,0,0.65832,0.045008,0.053407,-0.003,46.646,357.3,0,0,0,0,-7.7859e+05,1.5737e+05,-4.8846e-05,0.090437,4.2629,0,7.0647e+07,75747,14.157,0.73683,1.0012e-05,2.1805e-07,-7.9322e+05,-1.24,14.063,-9.6636e-12,0.99776,1.1669
0.045006,0.053429,-0.003,0.045006,0.053429,-0.003,0,0.65865,0.045006,0.053429,-0.003,45.977,357.27,0,0,0,0,-57164,-1.0229e+05,0.00014364,0.087379,4.0876,0,7.0994e+07,75726,14.157,0.73678,-3.0039e-05,-4.0239e-06,-7.8654e+05,-1.9426,13.824,2.1355e-12,0.99797,1.1817
0.045002,0.05345,-0.003,0.045002,0.05345,-0.003,0,0.65849,0.045003,0.05345,-0.003,45.324,357.28,0,0,0,0,-4.19e+05,6.4236e+05,7.8157e-05,0.085951,4.0178,0,7.1582e+07,75736,14.157,0.73682,-2.428e-05,-2.0792e-06,-8.1364e+05,-2.8783,13.996,-2.0826e-11,0.99817,1.2311
0.044997,0.053471,-0.003,0.044997,0.053471,-0.003,0,0.65798,0.044997,0.053471,-0.003,44.71,357.3,0,0,0,0,-6.7415e+05,1.7887e+05,7.201e-06,0.085108,3.9349,0,7.0935e+07,75769,14.157,0.73706,2.9579e-06,1.8761e-06,-7.9119e+05,-3.6925,13.561,-1.7251e-11,0.99835,1.2812
0.044991,0.053492,-0.003,0.044991,0.053492,-0.003,0,0.65833,0.044991,0.053492,-0.003,44.152,357.29,0,0,0,0,59032,-40583,2.8729e-05,0.084299,3.9176,0,7.1055e+07,75746,14.157,0.73693,-7.0073e-06,-2.4247e-06,-8.0325e+05,-4.4283,13.552,3.6391e-12,0.99852,1.3417
0.044984,0.053512,-0.003,0.044984,0.053512,-0.003,0,0.65813,0.044984,0.053513,-0.003,43.632,357.32,0,0,0,0,-3.6784e+05,7.3807e+05,6.7908e-05,0.085566,3.9938,0,7.1803e+07,75759,14.157,0.73697,-2.5582e-05,-1.1481e-05,-8.4033e+05,-5.4568,13.71,1.4725e-11,0.99868,1.3986
0.044975,0.053532,-0.003,0.044975,0.053532,-0.003,0,0.65757,0.044975,0.053532,-0.003,43.172,357.36,0,0,0,0,-4.6405e+05,95674,-0.00013836,0.088105,4.0931,0,7.1031e+07,75795,14.157,0.7372,-2.5006e-05,-1.2783e-05,-8.1302e+05,-6.1402,13.139,1.0363e-11,0.99882,1.4339
0.044965,0.053552,-0.003,0.044965,0.053552,-0.003,0,0.65799,0.044965,0.053552,-0.003,42.774,357.37,0,0,0,0,3.0781e+05,5.3089e+05,-0.00019108,0.090908,4.2944,0,7.1637e+07,75768,14.157,0.73699,1.9308e-05,8.5249e-06,-8.3821e+05,-6.8563,13.063,1.5273e-11,0.99894,1.4646
0.044954,0.05357,-0.003,0.044954,0.05357,-0.003,0,0.65736,0.044956,0.053571,-0.003,42.391,357.45,0,0,0,0,-4.5342e+05,1.5661e+06,-0.00020716,0.095745,4.4075,0,7.2895e+07,75809,14.157,0.73716,4.5726e-05,2.5974e-05,-8.747e+05,-8.2643,12.363,5.127e-11,0.99905,1.4411
0.044941,0.053587,-0.003,0.044941,0.053587,-0.003,0,0.65655,0.044941,0.053587,-0.003,42.066,357.54,0,0,0,0,-2.8785e+05,8.2282e+05,-0.00018709,0.10318,4.2769,0,7.1428e+07,75860,14.157,0.73743,5.5538e-05,4.8117e-05,-7.8224e+05,-8.8179,10.312,6.2378e-11,0.99911,1.2855
0.044926,0.053603,-0.003,0.044926,0.053603,-0.003,0,0.65677,0.044926,0.053603,-0.003,41.815,357.57,0,0,0,0,3.3659e+05,6.2507e+05,9.4356e-05,0.10973,4.0876,0,7.0395e+07,75847,14.157,0.73728,4.3329e-05,3.9986e-05,-6.8121e+05,-8.4238,8.7195,2.8685e-11,0.99914,1.0387
0.04491,0.053618,-0.003,0.04491,0.053618,-0.003,0,0.65649,0.04491,0.053618,-0.003,41.601,357.62,0,0,0,0,-1.6634e+05,6.8547e+05,0.0001057,0.11602,3.8472,0,7.0705e+07,75864,14.157,0.73734,3.0879e-05,3.363e-05,-6.1999e+05,-8.0202,7.518,3.993e-11,0.99915,0.72198
0.044893,0.053632,-0.003,0.044893,0.053632,-0.003,0,0.65631,0.044893,0.053632,-0.003,41.43,357.65,0,0,0,0,-87358,3.9178e+05,-1.3722e-05,0.12383,3.5361,0,7.062e+07,75876,14.157,0.73737,2.5467e-05,2.7801e-05,-5.4356e+05,-7.3482,6.2764,3.8996e-11,0.99915,0.50215
0.044876,0.053645,-0.003,0.044876,0.053645,-0.003,0,0.65626,0.044876,0.053645,-0.003,41.297,357.67,0,0,0,0,-43448,2.9695e+05,2.6628e-05,0.13262,3.2335,0,7.0545e+07,75879,14.157,0.73736,-1.7671e-05,-2.3332e-05,-4.7109e+05,-6.5969,5.1632,-2.8296e-11,0.99914,0.66733
0.044858,0.053657,-0.003,0.044858,0.053657,-0.003,0,0.65613,0.044858,0.053657,-0.003,41.198,357.69,0,0,0,0,-1.4258e+05,95558,-6.6459e-06,0.14305,2.9259,0,7.0493e+07,75888,14.157,0.7374,-1.2334e-05,-1.594e-05,-3.947e+05,-5.6928,4.0943,-1.6544e-11,0.9991,1.0014
0.044839,0.053668,-0.003,0.044839,0.053668,-0.003,0,0.6561,0.044839,0.053668,-0.003,41.127,357.69,0,0,0,0,-1.0605e+05,-33436,-3.7207e-05,0.15449,2.5945,0,7.0532e+07,75890,14.157,0.7374,7.2988e-06,1.0383e-05,-3.1212e+05,-4.6276,3.1033,2.0834e-11,0.99905,1.2342
0.04482,0.053678,-0.003,0.04482,0.053678,-0.003,0,0.65606,0.04482,0.053679,-0.003,41.082,357.68,0,0,0,0,-1.337e+05,-1.0467e+05,-2.4019e-06,0.16782,2.281,0,7.0614e+07,75892,14.157,0.73744,6.36e-06,1.0056e-05,-2.3947e+05,-3.6149,2.2757,2.1767e-11,0.99899,1.3948
0.0448,0.053688,-0.003,0.0448,0.053688,-0.003,0,0.65602,0.044801,0.053688,-0.003,41.063,357.66,0,0,0,0,-1.2027e+05,-2.5466e+05,2.49e-05,0.18354,1.9781,0,7.0397e+07,75895,14.157,0.7375,5.3342e-07,6.6729e-07,-1.6838e+05,-2.5699,1.5627,-1.4988e-12,0.99891,1.4824
0.04478,0.053696,-0.003,0.04478,0.053696,-0.003,0,0.65603,0.04478,0.053696,-0.003,41.065,357.63,0,0,0,0,-95532,-3.3336e+05,0.00016946,0.20172,1.6889,0,7.0233e+07,75894,14.157,0.73756,-2.7822e-06,-4.8443e-06,-1.0206e+05,-1.5626,0.99875,-1.3616e-11,0.99881,1.511
0.04476,0.053703,-0.003,0.04476,0.053703,-0.003,0,0.65603,0.04476,0.053703,-0.003,41.085,357.59,0,0,0,0,-60206,-4.0546e+05,6.1616e-05,0.2236,1.4301,0,7.0247e+07,75894,14.157,0.73764,3.8941e-08,9.255e-08,-43496,-0.63466,0.58951,-2.8765e-13,0.9987,1.5076
0.044739,0.053708,-0.003,0.044739,0.053708,-0.003,0,0.65604,0.044739,0.053709,-0.003,41.119,357.55,0,0,0,0,9079.9,-5.5811e+05,-9.8819e-05,0.24927,1.219,0,7.0115e+07,75893,14.157,0.7377,2.778e-07,-1.0876e-07,13336,0.29883,0.35068,5.7646e-12,0.99857,1.4699
0.044717,0.053711,-0.003,0.044717,0.053711,-0.003,0,0.65608,0.044717,0.053712,-0.003,41.153,357.52,0,0,0,0,8744.4,-6.2999e+05,5.3588e-06,0.26993,1.0786,0,7.0028e+07,75891,14.157,0.73774,5.8132e-07,-3.344e-08,67370,1.2079,0.27075,1.0244e-11,0.99841,1.4014
0.044696,0.053712,-0.003,0.044696,0.053712,-0.003,0,0.65617,0.044696,0.053713,-0.003,41.174,357.5,0,0,0,0,20078,-3.7108e+05,-6.9572e-05,0.27703,0.9979,0,7.0059e+07,75885,14.157,0.73776,1.0729e-06,-4.5751e-06,1.1431e+05,1.9988,0.3113,1.3161e-11,0.99822,1.32
0.044674,0.053711,-0.003,0.044674,0.053711,-0.003,0,0.65624,0.044674,0.053711,-0.003,41.184,357.52,0,0,0,0,1.4759e+05,-3.1462e+05,-8.5039e-05,0.27372,0.95865,0,7.0145e+07,75880,14.157,0.73771,9.246e-07,-4.7898e-06,1.5053e+05,2.5854,0.49452,9.0896e-12,0.998,1.2467
0.044653,0.053707,-0.003,0.044653,0.053707,-0.003,0,0.65632,0.044653,0.053708,-0.003,41.189,357.55,0,0,0,0,2.589e+05,-4.4435e+05,7.262e-05,0.26492,0.94672,0,7.0396e+07,75875,14.157,0.7376,-5.2253e-07,1.5686e-06,1.7001e+05,2.8803,0.77019,-2.1855e-13,0.99776,1.2016
0.04463,0.053701,-0.003,0.04463,0.053701,-0.003,0,0.65642,0.044631,0.053701,-0.003,41.183,357.59,0,0,0,0,2.3356e+05,-3.6137e+05,-2.3021e-05,0.25229,0.94914,0,7.0514e+07,75869,14.157,0.73748,-5.3865e-07,1.9977e-06,1.7455e+05,2.9694,0.96994,1.0046e-12,0.99748,1.193
0.044605,0.053692,-0.003,0.044605,0.053692,-0.003,0,0.65649,0.044606,0.053693,-0.003,41.174,357.62,0,0,0,0,1.3885e+05,-89746,-8.6958e-06,0.23848,0.96743,0,7.063e+07,75864,14.157,0.73737,-1.0607e-06,3.0186e-06,1.7574e+05,3.0368,1.007,-3.8357e-13,0.99717,1.2175
0.044577,0.053683,-0.003,0.044577,0.053683,-0.003,0,0.65658,0.044578,0.053683,-0.003,41.183,357.64,0,0,0,0,85859,2.3791e+05,7.6813e-05,0.22697,1.0004,0,7.0796e+07,75858,14.157,0.7373,-1.2296e-06,3.5042e-06,1.8122e+05,3.1481,1.0076,-5.3248e-13,0.9968,1.2661
0.044544,0.053671,-0.003,0.044544,0.053671,-0.003,0,0.65667,0.044545,0.053672,-0.003,41.222,357.62,0,0,0,0,1.36e+05,2.0202e+05,-2.8647e-05,0.21945,1.0353,0,7.077e+07,75853,14.157,0.73727,-1.4948e-07,4.099e-07,1.9221e+05,3.3206,1.0841,-2.4553e-13,0.99637,1.3423
